dummy,dem,PV,Cbolsa
t1,21.0859,0,178 
t2,20.2583,0,172 
t3,20.1845,0,165 
t4,20.8013,0,162
t5,24.4333,0,166 
t6,29.1144,5.1764,176
t7,28.3289,10 ,186
t8,28.6716,14.1421,196
t9,30.9647,17.3205,206
t10,31.9663,19.3185,216
t11,32.3142,20.0000,225
t12,33.5899,19.3185,235
t13,33.5741,17.3205,225
t14,32.0032,14.1421,230
t15,30.8171,10.0000,232
t16,31.3337,5.1764,230
t17,31.0859,0,220
t18,33.3210,0,204
t19,48.2341,0,229
t20,50.0000,0,253
t21,44.3437,0,238
t22,34.3384,0,224
t23,29.0459,0,208
t24,24.1434,0,193
