datetime;PV forecast [kW];PV measure [kW]
03/01/2017 0:00;0.00;0.00
03/01/2017 1:00;0.00;0.00
03/01/2017 2:00;0.00;0.00
03/01/2017 3:00;0.00;0.00
03/01/2017 4:00;0.00;0.00
03/01/2017 5:00;0.00;0.00
03/01/2017 6:00;0.00;nan
03/01/2017 7:00;0.11;nan
03/01/2017 8:00;1.10;nan
03/01/2017 9:00;1.92;0.24
03/01/2017 10:00;1.44;nan
03/01/2017 11:00;0.76;nan
03/01/2017 12:00;0.73;0.30
03/01/2017 13:00;0.57;0.21
03/01/2017 14:00;0.17;nan
03/01/2017 15:00;0.10;nan
03/01/2017 16:00;0.02;nan
03/01/2017 17:00;0.00;0.00
03/01/2017 18:00;0.00;0.00
03/01/2017 19:00;0.00;0.00
03/01/2017 20:00;0.00;0.00
03/01/2017 21:00;0.00;0.00
03/01/2017 22:00;0.00;0.00
03/01/2017 23:00;0.00;0.00
04/01/2017 0:00;0.00;0.00
04/01/2017 1:00;0.00;0.00
04/01/2017 2:00;0.00;0.00
04/01/2017 3:00;0.00;0.00
04/01/2017 4:00;0.00;0.00
04/01/2017 5:00;0.00;0.00
04/01/2017 6:00;0.00;0.03
04/01/2017 7:00;0.05;0.06
04/01/2017 8:00;0.13;nan
04/01/2017 9:00;0.18;0.24
04/01/2017 10:00;0.39;0.27
04/01/2017 11:00;0.36;nan
04/01/2017 12:00;0.35;0.24
04/01/2017 13:00;0.14;0.18
04/01/2017 14:00;0.12;0.06
04/01/2017 15:00;0.10;nan
04/01/2017 16:00;0.02;nan
04/01/2017 17:00;0.00;0.00
04/01/2017 18:00;0.00;0.00
04/01/2017 19:00;0.00;0.00
04/01/2017 20:00;0.00;0.00
04/01/2017 21:00;0.00;0.00
04/01/2017 22:00;0.00;0.00
04/01/2017 23:00;0.00;0.00
05/01/2017 0:00;0.00;0.00
05/01/2017 1:00;0.00;0.00
05/01/2017 2:00;0.00;0.00
05/01/2017 3:00;0.00;0.00
05/01/2017 4:00;0.00;0.00
05/01/2017 5:00;0.00;0.00
05/01/2017 6:00;0.03;0.06
05/01/2017 7:00;0.23;nan
05/01/2017 8:00;1.15;nan
05/01/2017 9:00;1.77;nan
05/01/2017 10:00;2.06;nan
05/01/2017 11:00;1.98;nan
05/01/2017 12:00;1.86;2.70
05/01/2017 13:00;0.86;2.31
05/01/2017 14:00;0.51;nan
05/01/2017 15:00;0.27;nan
05/01/2017 16:00;0.04;0.12
05/01/2017 17:00;0.00;0.00
05/01/2017 18:00;0.00;0.00
05/01/2017 19:00;0.00;0.00
05/01/2017 20:00;0.00;0.00
05/01/2017 21:00;0.00;0.00
05/01/2017 22:00;0.00;0.00
05/01/2017 23:00;0.00;0.00
06/01/2017 0:00;0.00;0.00
06/01/2017 1:00;0.00;0.00
06/01/2017 2:00;0.00;0.00
06/01/2017 3:00;0.00;0.00
06/01/2017 4:00;0.00;0.00
06/01/2017 5:00;0.00;0.00
06/01/2017 6:00;0.03;0.03
06/01/2017 7:00;0.36;nan
06/01/2017 8:00;1.16;1.83
06/01/2017 9:00;2.17;2.46
06/01/2017 10:00;2.25;nan
06/01/2017 11:00;2.24;2.76
06/01/2017 12:00;1.57;2.64
06/01/2017 13:00;1.21;1.02
06/01/2017 14:00;0.42;nan
06/01/2017 15:00;0.30;0.42
06/01/2017 16:00;0.05;0.15
06/01/2017 17:00;0.00;0.00
06/01/2017 18:00;0.00;0.00
06/01/2017 19:00;0.00;0.00
06/01/2017 20:00;0.00;0.00
06/01/2017 21:00;0.00;0.00
06/01/2017 22:00;0.00;0.00
06/01/2017 23:00;0.00;0.00
07/01/2017 0:00;0.00;0.00
07/01/2017 1:00;0.00;0.00
07/01/2017 2:00;0.00;0.00
07/01/2017 3:00;0.00;0.00
07/01/2017 4:00;0.00;0.00
07/01/2017 5:00;0.00;0.00
07/01/2017 6:00;0.03;nan
07/01/2017 7:00;0.76;nan
07/01/2017 8:00;1.56;nan
07/01/2017 9:00;2.17;nan
07/01/2017 10:00;2.32;0.57
07/01/2017 11:00;1.22;0.27
07/01/2017 12:00;0.51;0.54
07/01/2017 13:00;1.09;0.36
07/01/2017 14:00;0.48;nan
07/01/2017 15:00;0.11;0.21
07/01/2017 16:00;0.02;0.06
07/01/2017 17:00;0.00;0.00
07/01/2017 18:00;0.00;0.00
07/01/2017 19:00;0.00;0.00
07/01/2017 20:00;0.00;0.00
07/01/2017 21:00;0.00;0.00
07/01/2017 22:00;0.00;0.00
07/01/2017 23:00;0.00;0.00
08/01/2017 0:00;0.00;0.00
08/01/2017 1:00;0.00;0.00
08/01/2017 2:00;0.00;0.00
08/01/2017 3:00;0.00;0.00
08/01/2017 4:00;0.00;0.00
08/01/2017 5:00;0.00;0.00
08/01/2017 6:00;0.03;nan
08/01/2017 7:00;0.45;0.18
08/01/2017 8:00;1.60;0.33
08/01/2017 9:00;2.19;1.92
08/01/2017 10:00;2.45;nan
08/01/2017 11:00;2.43;nan
08/01/2017 12:00;2.13;nan
08/01/2017 13:00;1.60;nan
08/01/2017 14:00;0.97;1.41
08/01/2017 15:00;0.36;0.63
08/01/2017 16:00;0.11;nan
08/01/2017 17:00;0.00;nan
08/01/2017 18:00;0.00;0.00
08/01/2017 19:00;0.00;0.00
08/01/2017 20:00;0.00;0.00
08/01/2017 21:00;0.00;0.00
08/01/2017 22:00;0.00;0.00
08/01/2017 23:00;0.00;0.00
09/01/2017 0:00;0.00;0.00
09/01/2017 1:00;0.00;0.00
09/01/2017 2:00;0.00;0.00
09/01/2017 3:00;0.00;0.00
09/01/2017 4:00;0.00;0.00
09/01/2017 5:00;0.00;0.00
09/01/2017 6:00;0.03;0.03
09/01/2017 7:00;0.27;nan
09/01/2017 8:00;0.64;nan
09/01/2017 9:00;2.16;0.96
09/01/2017 10:00;2.43;1.08
09/01/2017 11:00;2.42;nan
09/01/2017 12:00;2.22;nan
09/01/2017 13:00;1.46;1.26
09/01/2017 14:00;1.07;nan
09/01/2017 15:00;0.37;0.39
09/01/2017 16:00;0.12;nan
09/01/2017 17:00;0.00;0.00
09/01/2017 18:00;0.00;0.00
09/01/2017 19:00;0.00;0.00
09/01/2017 20:00;0.00;0.00
09/01/2017 21:00;0.00;0.00
09/01/2017 22:00;0.00;0.00
09/01/2017 23:00;0.00;0.00
10/01/2017 0:00;0.00;0.00
10/01/2017 1:00;0.00;0.00
10/01/2017 2:00;0.00;0.00
10/01/2017 3:00;0.00;0.00
10/01/2017 4:00;0.00;0.00
10/01/2017 5:00;0.00;0.00
10/01/2017 6:00;0.03;0.09
10/01/2017 7:00;0.27;nan
10/01/2017 8:00;1.02;1.77
10/01/2017 9:00;2.00;1.35
10/01/2017 10:00;2.45;nan
10/01/2017 11:00;2.39;nan
10/01/2017 12:00;2.16;1.14
10/01/2017 13:00;1.59;0.75
10/01/2017 14:00;0.58;nan
10/01/2017 15:00;0.38;nan
10/01/2017 16:00;0.12;nan
10/01/2017 17:00;0.00;0.00
10/01/2017 18:00;0.00;0.00
10/01/2017 19:00;0.00;0.00
10/01/2017 20:00;0.00;0.00
10/01/2017 21:00;0.00;0.00
10/01/2017 22:00;0.00;0.00
10/01/2017 23:00;0.00;0.00
11/01/2017 0:00;0.00;0.00
11/01/2017 1:00;0.00;0.00
11/01/2017 2:00;0.00;0.00
11/01/2017 3:00;0.00;0.00
11/01/2017 4:00;0.00;0.00
11/01/2017 5:00;0.00;0.00
11/01/2017 6:00;0.02;nan
11/01/2017 7:00;0.13;0.15
11/01/2017 8:00;0.37;0.42
11/01/2017 9:00;1.71;0.75
11/01/2017 10:00;2.19;1.11
11/01/2017 11:00;2.29;nan
11/01/2017 12:00;1.83;nan
11/01/2017 13:00;1.08;nan
11/01/2017 14:00;0.57;1.35
11/01/2017 15:00;0.14;0.69
11/01/2017 16:00;0.03;nan
11/01/2017 17:00;0.00;0.00
11/01/2017 18:00;0.00;0.00
11/01/2017 19:00;0.00;0.00
11/01/2017 20:00;0.00;0.00
11/01/2017 21:00;0.00;0.00
11/01/2017 22:00;0.00;0.00
11/01/2017 23:00;0.00;0.00
12/01/2017 0:00;0.00;0.00
12/01/2017 1:00;0.00;0.00
12/01/2017 2:00;0.00;0.00
12/01/2017 3:00;0.00;0.00
12/01/2017 4:00;0.00;0.00
12/01/2017 5:00;0.00;0.00
12/01/2017 6:00;0.03;0.00
12/01/2017 7:00;0.28;nan
12/01/2017 8:00;1.01;nan
12/01/2017 9:00;1.52;0.36
12/01/2017 10:00;1.95;0.63
12/01/2017 11:00;1.96;nan
12/01/2017 12:00;2.09;0.69
12/01/2017 13:00;1.53;0.66
12/01/2017 14:00;0.71;0.48
12/01/2017 15:00;0.42;nan
12/01/2017 16:00;0.12;nan
12/01/2017 17:00;0.00;nan
12/01/2017 18:00;0.00;0.00
12/01/2017 19:00;0.00;0.00
12/01/2017 20:00;0.00;0.00
12/01/2017 21:00;0.00;0.00
12/01/2017 22:00;0.00;0.00
12/01/2017 23:00;0.00;0.00
13/01/2017 0:00;0.00;0.00
13/01/2017 1:00;0.00;0.00
13/01/2017 2:00;0.00;0.00
13/01/2017 3:00;0.00;0.00
13/01/2017 4:00;0.00;0.00
13/01/2017 5:00;0.00;0.00
13/01/2017 6:00;0.03;nan
13/01/2017 7:00;0.27;0.87
13/01/2017 8:00;1.16;1.74
13/01/2017 9:00;1.71;nan
13/01/2017 10:00;2.42;nan
13/01/2017 11:00;1.97;2.61
13/01/2017 12:00;2.01;nan
13/01/2017 13:00;1.53;nan
13/01/2017 14:00;0.71;1.35
13/01/2017 15:00;0.45;0.66
13/01/2017 16:00;0.14;nan
13/01/2017 17:00;0.00;nan
13/01/2017 18:00;0.00;0.00
13/01/2017 19:00;0.00;0.00
13/01/2017 20:00;0.00;0.00
13/01/2017 21:00;0.00;0.00
13/01/2017 22:00;0.00;0.00
13/01/2017 23:00;0.00;0.00
14/01/2017 0:00;0.00;0.00
14/01/2017 1:00;0.00;0.00
14/01/2017 2:00;0.00;0.00
14/01/2017 3:00;0.00;0.00
14/01/2017 4:00;0.00;0.00
14/01/2017 5:00;0.00;0.00
14/01/2017 6:00;0.03;nan
14/01/2017 7:00;0.28;nan
14/01/2017 8:00;1.06;nan
14/01/2017 9:00;1.41;nan
14/01/2017 10:00;2.02;nan
14/01/2017 11:00;2.19;nan
14/01/2017 12:00;2.27;2.49
