H;Pch;Pdch;Pd;
00:00;20.0;20.0;0.44;
01:00;0.0;0.0;0.62;
02:00;20.0;20.0;0.9;
03:00;0.0;0.0;1.81;
04:00;20.0;20.0;1.1;
05:00;0.08000000000000007;0.0;1.95;
06:00;0.24;0.0;1.7;
07:00;20.0;19.23;2.15;
08:00;0.0;0.6000000000000001;0.0;
09:00;2.27;0.0;3.9;
10:00;1.29;0.0;4.69;
11:00;0.71;0.0;7.04;
12:00;20.0;19.07;6.44;
13:00;0.0;2.0800000000000027;1.0299999999999976;
14:00;0.0;2.04;0.0;
15:00;18.43;20.0;0.0;
16:00;0.07000000000000006;0.0;1.85;
17:00;0.0;0.0;2.42;
18:00;0.0;0.0;1.91;
19:00;0.0;0.0;2.53;
20:00;20.0;20.0;2.89;
21:00;0.0;0.07000000000000141;2.8799999999999986;
22:00;0.0;0.0;1.53;
23:00;19.34;20.0;0.0;
