H;Pch;Pdch;Pd;
00:00;0.0;0.0;21.0859;
01:00;0.0;0.0;20.2583;
02:00;0.0;0.0;20.1845;
03:00;0.0;0.0;20.8013;
04:00;0.0;0.0;24.4333;
05:00;0.0;0.0;23.938;
06:00;0.0;0.0;18.3289;
07:00;14.1421;0.0;28.6716;
08:00;0.0;0.0;13.644200000000001;
09:00;19.3185;0.0;31.9663;
10:00;10.378794736842101;0.0;22.692994736842103;
11:00;19.3185;0.0;33.5899;
12:00;0.0;0.0;16.253600000000002;
13:00;0.0;0.0;17.8611;
14:00;0.0;0.0;20.8171;
15:00;0.0;0.0;26.1573;
16:00;0.0;0.0;31.0859;
17:00;0.0;20.0;13.320999999999998;
18:00;0.0;20.0;28.234099999999998;
19:00;0.0;20.0;30.0;
20:00;0.0;3.157894736842099;41.1858052631579;
21:00;0.0;0.0;34.3384;
22:00;0.0;0.0;29.0459;
23:00;0.0;0.0;24.1434;
