dummy,dem,PV,Cbolsa,ThermalLoad
t1,21.0859,0,270 ,4
t2,20.2583,0,270 ,4
t3,20.1845,0,270 ,4
t4,20.8013,0,270,4
t5,24.4333,0,315 ,8
t6,29.1144,5.1764,360,11.8
t7,28.3289,10 ,360,12.9
t8,28.6716,14.1421,360,12.5
t9,30.9647,17.3205,405,11
t10,31.9663,19.3185,405,10.6
t11,32.3142,20.0000,405,11.2
t12,33.5899,19.3185,405,8.7
t13,33.5741,17.3205,405,10
t14,32.0032,14.1421,405,10
t15,30.8171,10.0000,405,9.5
t16,31.3337,5.1764,405,8.7
t17,31.0859,0,405,8.8
t18,33.3210,0,405,10.4
t19,48.2341,0,630,11
t20,50.0000,0,630,8
t21,44.3437,0,540,7
t22,34.3384,0,450,6.9
t23,29.0459,0,360,3.8
t24,24.1434,0,315,4
