Date,Day,Hour,PT,ES,FR,UK,DE,FI,,,Dexcription,PT,ES,FR,UK,DE,FI,,Load Number,Load max
12/31/2016,1,1,63.6,63.6,22.2,22.2,22.2,16.39,,,PV LCE,0.1,0.1,0.12,0.17,0.15,0.2,,1,100
12/31/2016,1,2,54.29,54.29,16.57,16.57,16.57,16.04,,,Retail electricity price €/kWh,0.2063,0.2275,0.145,0.1785,0.267,0.1559,,2,90
12/31/2016,1,3,50,50,12.77,12.77,12.77,15.74,,,,,,,,,,,3,120
12/31/2016,1,4,49.6,46.71,11.27,11.27,11.27,15.57,,,,,,,,,,,4,60
12/31/2016,1,5,49.25,46.22,11.91,11.91,11.91,15.47,,,,,,,,,,,5,60
12/31/2016,1,6,49.1,46.22,12.62,12.62,12.62,15.75,,,,,,,,,,,6,200
12/31/2016,1,7,48.6,48.17,14.17,14.17,13.83,15.36,,,,,,,,,,,7,200
12/31/2016,1,8,50.2,50.2,17.73,16.12,16.12,15.37,,,,,,,,,,,8,60
12/31/2016,1,9,56.69,56.69,20.29,20.29,18.12,15.19,,,,,,,,,,,9,60
12/31/2016,1,10,60.29,60.29,24.3,19.59,19.59,15.39,,,,,,,,,,,10,45
12/31/2016,1,11,64.88,64.88,25.05,25.05,21.07,15.78,,,,,,,,,,,11,60
12/31/2016,1,12,61.1,61.1,29.31,22.54,22.54,16.15,,,,,,,,,,,12,60
12/31/2016,1,13,59.52,59.52,26.31,26.31,19.79,16.5,,,,,,,,,,,13,120
12/31/2016,1,14,60.15,60.15,22.63,22.63,16.9,16.72,,,,,,,,,,,14,60
12/31/2016,1,15,59.7,59.7,19.61,19.61,16.97,17.17,,,,,,,,,,,15,60
12/31/2016,1,16,57.62,57.62,20.65,20.65,19.25,18,,,,,,,,,,,16,60
12/31/2016,1,17,57.5,57.5,34.21,28.01,28.01,18.53,,,,,,,,,,,17,90
12/31/2016,1,18,62.47,62.47,42.23,28.36,28.36,19.11,,,,,,,,,,,18,90
12/31/2016,1,19,70.69,70.69,37.36,37.36,26.56,18.68,,,,,,,,,,,19,90
12/31/2016,1,20,71.02,71.02,32.84,32.84,17.38,17.93,,,,,,,,,,,20,90
12/31/2016,1,21,70.26,70.26,26.15,26.15,15.83,17.69,,,,,,,,,,,21,90
