Fecha,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,
1995-07-20,,1.073,1.073,1.073,1.073,1.073,1.073,1.073,1.074,1.074,2.827,2.827,2.827,1.074,1.073,1.073,1.073,1.073,1.074,1.897,1.897,1.897,1.073,1.073,1.4094347826087
1995-07-21,1.073,1,1,1,1,1,5,6,6,6,6,9.256,9.256,5,5,1,1,5,12,16.67,11.929,5,1,1,5.1384347826087
1995-07-22,1.073,1.073,1,1,1,1.073,1.303,1.303,1.303,1.303,1.303,1.303,1.303,1.303,1.073,1,1,1,1.303,2.5,2.5,1.303,1.073,1.073,1.32469565217391
1995-07-23,1.073,1,1,1,1,1,0.1,1,1,1,1,1,1.238,1.238,1,0.1,0.1,1,1.238,1.238,1.238,1.238,1.073,1,0.994521739130435
1995-07-24,1,1,0.99,1,1,1.073,3,3,3,3.5,8.845,9.256,3,1.073,1.073,1.073,3,2,18.63,22.5,9.256,3,1.073,1,4.49313043478261
1995-07-25,0.99,0.99,0.989,0.99,0.99,1.073,1.263,1.263,1.263,1.263,1.263,1.263,1.263,1.073,1.073,1.073,1.073,1.073,1.263,1.5,1.263,1.263,1.073,0.99,1.19913043478261
1995-07-26,0.5,0.5,0.5,0.5,0.5,0.99,1.073,1.073,1.073,1.073,1.073,1.073,1.073,0.99,0.5,0.5,0.99,0.99,1.073,8,1.073,0.99,0.5,0,1.15682608695652
1995-07-27,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.073,1.5,0.99,0.5,0.5,0.5,0.611434782608696
1995-07-28,0,0,0,0,0,0.463,0.463,1,0.463,0.463,1.073,1.073,0.463,0.463,0.463,0.463,0.463,0.463,1.073,1.073,1.073,1,0,0,0.521521739130435
1995-07-29,1,1,0,0,1,0,1.07,1.07,1.07,1.07,1.07,1.07,1.072,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.072,1.07,1.07,1.07,0.968
1995-07-30,1.072,1,0,0,0,0,0.1,1,1.072,1.072,1.072,1.072,1.073,1.072,1,0,0,0.1,1.072,1.073,1.073,1.072,1.072,0,0.698565217391304
1995-07-31,0,0,0,0,0,1,1.073,0,0,0.1,0,0,1.07,0,0,0,0,0,1.073,8.845,1.073,1.073,1,0,0.709
1995-08-01,0,0,0,0,0,1.07,1.073,0,1.07,17,1.07,1.07,1.07,1,0,0,0,0,1.07,1.073,0,0,0,0,1.15504347826087
1995-08-02,1.073,1.073,1.073,1.073,1.073,1.073,1.1,1.073,1.073,1.073,1.073,1.073,1.073,1.1,1.073,1.073,1.1,1.073,1.073,1.073,1.073,1.1,1.073,1.073,1.12434782608696
